547	Fehler in der Nachmessungssequenz (gefilterte Strommessung): Messimpuls konnte nicht erkannt werden.
548	Fehler in der Nachmessungssequenz (gefilterte Strommessung): Messimpuls konnte nicht identifiziert werden (Diff error)
549	Fehler in der Nachmessungssequenz (gefilterte Strommessung): Zu viele Ausreißer in den Messwerten
550	Fehler in der Nachmessungssequenz (gefilterte Strommessung): Interner Modulfehler
560	Fehler in der Nachmessungssequenz (gefilterte Strommessung): Nullstromrauschen
801	Fehler in der Überstromkalibrierung: No edge found
802	Fehler in der Überstromkalibrierung: Falling edge not found
803	Fehler in der Überstromkalibrierung: Rising edge not found
804	Fehler in der Überstromkalibrierung: More than two edges found
805	Fehler in der Überstromkalibrierung: Hysteresis relative error
806	Fehler in der Überstromkalibrierung: Pulse width to short
807	Fehler in der Überstromkalibrierung: Threshold relative error
851	Fehler in der Überstromnachmessungssequenz: No edge found
852	Fehler in der Überstromnachmessungssequenz: Falling edge not found
853	Fehler in der Überstromnachmessungssequenz: Rising edge not found
854	Fehler in der Überstromnachmessungssequenz: More than two edges found
855	Fehler in der Überstromnachmessungssequenz: Hysteresis relative error
856	Fehler in der Überstromnachmessungssequenz: Pulse width to short
857	Fehler in der Überstromnachmessungssequenz: Threshold relative error
990	Falsche Firmware- oder Hardwareversion
1000	Allgemeiner IPC_IPS Fehler
1001	Modul nicht richtig kontaktiert oder keine Verbindung zur Stromversorgung
1002	Fehler in der Kalibrierungssequenz
1003	Fehler beim Schreiben der Kalibrierungsdaten in die Datenbank
1004	Fehler beim Schreiben der Kalibrierungsdaten in eine Datei
1005	Fehler beim Schreiben der Kalibrierungsergebnisse in die Datenbank
1006	Fehler in der Nachmessungssequenz
1007	Fehler beim Schreiben der Nachmessungsdaten
1008	Fehler in der Kalibrierungssequenz: Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1009	Fehler in der Kalibrierungssequenz: Kontaktierung verpolt
1010	Fehler in der Kalibrierungssequenz: Fehler bei der Berechnung des Messwertes
1011	Fehler in der Kalibrierungssequenz: Zu hohes Rauschen in den Messwerten
1012	Fehler in der Kalibrierungssequenz: Relative Abweichung vom Referenzwert zu groß
1013	Fehler in der Kalibrierungssequenz: Abweichung vom Referenzwert zu groß
1014	Fehler in der Kalibrierungssequenz: Es wurde mehr als ein Messimpuls identifiziert.
1015	Fehler in der Kalibrierungssequenz: Zu wenige gültige Messwerte aufgenommen
1016	Fehler in der Kalibrierungssequenz: Messimpuls konnte nicht erkannt werden.
1017	Fehler in der Kalibrierungssequenz: Messimpuls konnte nicht identifiziert werden (Diff error)
1018	Fehler in der Kalibrierungssequenz: Zu viele Ausreißer in den Messwerten
1019	Fehler in der Kalibrierungssequenz: Interner Modulfehler
1020	Fehler in der Nachmessungssequenz: Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1021	Fehler in der Nachmessungssequenz: Kontaktierung verpolt
1022	Fehler in der Nachmessungssequenz: Fehler bei der Berechnung des Messwertes
1023	Fehler in der Nachmessungssequenz: Zu hohes Rauschen in den Messwerten
1024	Fehler in der Nachmessungssequenz: Relative Abweichung vom Referenzwert zu groß
1025	Fehler in der Nachmessungssequenz: Abweichung vom Referenzwert zu groß
1026	Fehler in der Nachmessungssequenz: Es wurde mehr als ein Messimpuls identifiziert.
1027	Fehler in der Nachmessungssequenz: Zu wenige gültige Messwerte aufgenommen
1028	Fehler in der Nachmessungssequenz: Messimpuls konnte nicht erkannt werden.
1029	Fehler in der Nachmessungssequenz: Messimpuls konnte nicht identifiziert werden (Diff error)
1030	Fehler in der Nachmessungssequenz: Zu viele Ausreißer in den Messwerten
1031	Fehler in der Nachmessungssequenz: Interner Modulfehler
1500	Allgemeiner IMC-M Fehler
1501	Fehler beim Schreiben der Default-Parameter
1502	Fehler in der Kalibrierungssequenz (ASIC)
1503	Fehler beim Schreiben der Kalibrierungsdaten (ASIC)
1504	Fehler in der Kalibrierungssequenz (MELEXIS)
1505	Fehler beim Schreiben der Kalibrierungsdaten (MELEXIS)
1506	Fehler beim Schreiben der Kalibrierungsparameter
1507	Fehler in der Nachmessungssequenz (ASIC)
1508	Fehler beim Schreiben der Nachmessungsdaten (ASIC)
1509	Fehler in der Nachmessungssequenz (MELEXIS)
1510	Fehler beim Schreiben der Nachmessungsdaten (MELEXIS)
1511	Fehler beim Lesen der Parameter
1512	Fehler in der Kalibrierungssequenz (ASIC) HT
1513	Fehler beim Schreiben der Kalibrierungsdaten (ASIC) HT
1514	Fehler in der Kalibrierungssequenz (MELEXIS) HT
1515	Fehler beim Schreiben der Kalibrierungsdaten (MELEXIS) HT
1516	Fehler beim Schreiben der Kalibrierungsparameter HT
1517	Fehler in der Nachmessungssequenz (ASIC) HT
1518	Fehler beim Schreiben der Nachmessungsdaten (ASIC) HT
1519	Fehler in der Nachmessungssequenz (MELEXIS) HT
1520	Fehler beim Schreiben der Nachmessungsdaten (MELEXIS) HT
1521	Fehler in der Kalibrierungssequenz (ASIC): Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1522	Fehler in der Kalibrierungssequenz (ASIC): Kontaktierung verpolt
1523	Fehler in der Kalibrierungssequenz (ASIC): Fehler bei der Berechnung des Messwertes
1524	Fehler in der Kalibrierungssequenz (ASIC): Zu hohes Rauschen in den Messwerten
1525	Fehler in der Kalibrierungssequenz (ASIC): Relative Abweichung vom Referenzwert zu groß
1526	Fehler in der Kalibrierungssequenz (ASIC): Abweichung vom Referenzwert zu groß
1527	Fehler in der Kalibrierungssequenz (ASIC): Es wurde mehr als ein Messimpuls identifiziert.
1528	Fehler in der Kalibrierungssequenz (ASIC): Zu wenige gültige Messwerte aufgenommen
1529	Fehler in der Kalibrierungssequenz (ASIC): Messimpuls konnte nicht erkannt werden.
1530	Fehler in der Kalibrierungssequenz (ASIC): Messimpuls konnte nicht identifiziert werden (Diff error)
1531	Fehler in der Kalibrierungssequenz (ASIC): Zu viele Ausreißer in den Messwerten
1532	Fehler in der Kalibrierungssequenz (ASIC): Interner Modulfehler
1533	Fehler in der Nachmessungssequenz (ASIC): Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1534	Fehler in der Nachmessungssequenz (ASIC): Kontaktierung verpolt
1535	Fehler in der Nachmessungssequenz (ASIC): Fehler bei der Berechnung des Messwertes
1536	Fehler in der Nachmessungssequenz (ASIC): Zu hohes Rauschen in den Messwerten
1537	Fehler in der Nachmessungssequenz (ASIC): Relative Abweichung vom Referenzwert zu groß
1538	Fehler in der Nachmessungssequenz (ASIC): Abweichung vom Referenzwert zu groß
1539	Fehler in der Nachmessungssequenz (ASIC): Es wurde mehr als ein Messimpuls identifiziert.
1540	Fehler in der Nachmessungssequenz (ASIC): Zu wenige gültige Messwerte aufgenommen
1541	Fehler in der Nachmessungssequenz (ASIC): Messimpuls konnte nicht erkannt werden.
1542	Fehler in der Nachmessungssequenz (ASIC): Messimpuls konnte nicht identifiziert werden (Diff error)
1543	Fehler in der Nachmessungssequenz (ASIC): Zu viele Ausreißer in den Messwerten
1544	Fehler in der Nachmessungssequenz (ASIC): Interner Modulfehler
1545	Fehler in der Nachmessungssequenz (MELEXIS): Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1546	Fehler in der Nachmessungssequenz (MELEXIS): Kontaktierung verpolt
1547	Fehler in der Nachmessungssequenz (MELEXIS): Fehler bei der Berechnung des Messwertes
1548	Fehler in der Nachmessungssequenz (MELEXIS): Zu hohes Rauschen in den Messwerten
1549	Fehler in der Nachmessungssequenz (MELEXIS): Relative Abweichung vom Referenzwert zu groß
1550	Fehler in der Nachmessungssequenz (MELEXIS): Abweichung vom Referenzwert zu groß
1551	Fehler in der Nachmessungssequenz (MELEXIS): Es wurde mehr als ein Messimpuls identifiziert.
1552	Fehler in der Nachmessungssequenz (MELEXIS): Zu wenige gültige Messwerte aufgenommen
1553	Fehler in der Nachmessungssequenz (MELEXIS): Messimpuls konnte nicht erkannt werden.
1554	Fehler in der Nachmessungssequenz (MELEXIS): Messimpuls konnte nicht identifiziert werden (Diff error)
1555	Fehler in der Nachmessungssequenz (MELEXIS): Zu viele Ausreißer in den Messwerten
1556	Fehler in der Nachmessungssequenz (MELEXIS): Interner Modulfehler
1557	Fehler in der Kalibrierungssequenz (ASIC) HT: Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1558	Fehler in der Kalibrierungssequenz (ASIC) HT: Kontaktierung verpolt
1559	Fehler in der Kalibrierungssequenz (ASIC) HT: Fehler bei der Berechnung des Messwertes
1560	Fehler in der Kalibrierungssequenz (ASIC) HT: Zu hohes Rauschen in den Messwerten
1561	Fehler in der Kalibrierungssequenz (ASIC) HT: Relative Abweichung vom Referenzwert zu groß
1562	Fehler in der Kalibrierungssequenz (ASIC) HT: Abweichung vom Referenzwert zu groß
1563	Fehler in der Kalibrierungssequenz (ASIC) HT: Es wurde mehr als ein Messimpuls identifiziert.
1564	Fehler in der Kalibrierungssequenz (ASIC) HT: Zu wenige gültige Messwerte aufgenommen
1565	Fehler in der Kalibrierungssequenz (ASIC) HT: Messimpuls konnte nicht erkannt werden.
1566	Fehler in der Kalibrierungssequenz (ASIC) HT: Messimpuls konnte nicht identifiziert werden (Diff error)
1567	Fehler in der Kalibrierungssequenz (ASIC) HT: Zu viele Ausreißer in den Messwerten
1568	Fehler in der Kalibrierungssequenz (ASIC) HT: Interner Modulfehler
1569	Fehler in der Nachmessungssequenz (ASIC) HT: Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1570	Fehler in der Nachmessungssequenz (ASIC) HT: Kontaktierung verpolt
1571	Fehler in der Nachmessungssequenz (ASIC) HT: Fehler bei der Berechnung des Messwertes
1572	Fehler in der Nachmessungssequenz (ASIC) HT: Zu hohes Rauschen in den Messwerten
1573	Fehler in der Nachmessungssequenz (ASIC) HT: Relative Abweichung vom Referenzwert zu groß
1574	Fehler in der Nachmessungssequenz (ASIC) HT: Abweichung vom Referenzwert zu groß
1575	Fehler in der Nachmessungssequenz (ASIC) HT: Es wurde mehr als ein Messimpuls identifiziert.
1576	Fehler in der Nachmessungssequenz (ASIC) HT: Zu wenige gültige Messwerte aufgenommen
1577	Fehler in der Nachmessungssequenz (ASIC) HT: Messimpuls konnte nicht erkannt werden.
1578	Fehler in der Nachmessungssequenz (ASIC) HT: Messimpuls konnte nicht identifiziert werden (Diff error)
1579	Fehler in der Nachmessungssequenz (ASIC) HT: Zu viele Ausreißer in den Messwerten
1580	Fehler in der Nachmessungssequenz (ASIC) HT: Interner Modulfehler
1581	Fehler in der Nachmessungssequenz (MELEXIS) HT: Kein Strom/keine Spannung gemessen. Eventuelles Kontaktierungsproblem.
1582	Fehler in der Nachmessungssequenz (MELEXIS) HT: Kontaktierung verpolt
1583	Fehler in der Nachmessungssequenz (MELEXIS) HT: Fehler bei der Berechnung des Messwertes
1584	Fehler in der Nachmessungssequenz (MELEXIS) HT: Zu hohes Rauschen in den Messwerten
1585	Fehler in der Nachmessungssequenz (MELEXIS) HT: Relative Abweichung vom Referenzwert zu groß
1586	Fehler in der Nachmessungssequenz (MELEXIS) HT: Abweichung vom Referenzwert zu groß
1587	Fehler in der Nachmessungssequenz (MELEXIS) HT: Es wurde mehr als ein Messimpuls identifiziert.
1588	Fehler in der Nachmessungssequenz (MELEXIS) HT: Zu wenige gültige Messwerte aufgenommen
1589	Fehler in der Nachmessungssequenz (MELEXIS) HT: Messimpuls konnte nicht erkannt werden.
1590	Fehler in der Nachmessungssequenz (MELEXIS) HT: Messimpuls konnte nicht identifiziert werden (Diff error)
1591	Fehler in der Nachmessungssequenz (MELEXIS) HT: Zu viele Ausreißer in den Messwerten
1592	Fehler in der Nachmessungssequenz (MELEXIS) HT: Interner Modulfehler
1601	Fehler in der Nachmessungssequenz (MELEXIS) RT: Fehlerhafte Kontaktierung des Sekundärkanals
1602	Fehler in der Nachmessungssequenz (MELEXIS) HT: Fehlerhafte Kontaktierung des Sekundärkanals
1900	Fehler in der Nachmessungssequenz RT: Failed to validate remeasurement results
1901	Fehler in der Nachmessungssequenz HT: Failed to validate remeasurement results
1990	IMC-M Modul wurde bereits kalibriert. Erneuete Kalibrierung nur nach Zurücksetzen möglich.
2000	Allgemeiner IVT-MOD Fehler
2001	Fehler beim Schreiben der Default-Parameter
2002	Falsche Firmwareversion im Modul
2003	Temperatur noch nicht erreicht
